date,height1,height2,in_valve1,in_valve2,in_flow,out_valve1,out_valve2,out_flow
2019-10-18 20:00:00,2.3245,2.3680833333333333,0.0,0.0,451.5789966666667,0.0,0.0,352.8967083333334
2019-10-18 21:00:00,2.3871166666666666,2.4236500000000003,0.0,0.0,285.71463500000004,0.0,0.0,426.186395
2019-10-18 22:00:00,2.389483333333333,2.42125,0.0,0.0,269.6913916666667,0.0,0.0,336.3893483333333
2019-10-18 23:00:00,2.3755333333333337,2.408066666666667,0.0,0.0,175.643161,0.0,0.0,320.77652333333333
2019-10-19 00:00:00,2.4162833333333333,2.4638666666666666,0.0,0.0,381.21740500000004,0.0,0.0,293.17062833333335
2019-10-19 01:00:00,2.573516666666667,2.6153,0.0,0.0,389.47754,0.0,0.0,212.98433666666668
2019-10-19 02:00:00,2.763916666666667,2.8041833333333335,0.0,0.0,385.7994516666667,0.0,0.0,194.78046333333333
2019-10-19 03:00:00,2.959166666666667,3.0000166666666668,0.0,0.0,384.96698833333335,0.0,0.0,182.328315
2019-10-19 04:00:00,3.1595,3.1999166666666667,0.0,0.0,385.24755333333337,0.0,0.0,181.84513166666665
2019-10-19 05:00:00,3.34885,3.3929166666666664,0.0,0.0,382.7021966666667,0.0,0.0,225.33613166666666
2019-10-19 06:00:00,3.48215,3.527083333333333,0.0,0.0,249.1181545,0.0,0.0,238.22406166666667
2019-10-19 07:00:00,3.4826833333333336,3.5337666666666667,0.0,0.0,159.961475,0.0,0.0,329.49341333333336
2019-10-19 08:00:00,3.3819,3.4414666666666665,0.0,0.0,159.62436333333335,0.0,0.0,525.3623233333333
2019-10-19 09:00:00,3.1611,3.2287666666666666,0.0,0.0,158.81198333333333,0.0,0.0,592.650505
2019-10-19 10:00:00,2.959283333333333,3.0239666666666665,0.0,0.0,159.991045,0.0,0.0,535.438755
2019-10-19 11:00:00,2.8759,2.92205,0.0,0.0,225.6699133333333,0.0,0.0,370.35835000000003
2019-10-19 12:00:00,2.8398833333333333,2.8866666666666663,0.0,0.0,224.06711333333334,0.0,0.0,359.383735
2019-10-19 13:00:00,2.793433333333333,2.8423666666666665,0.0,0.0,225.596665,0.0,0.0,419.72987166666667
2019-10-19 14:00:00,2.751933333333333,2.797683333333333,0.0,0.0,224.68742666666668,0.0,0.0,374.3082283333333
2019-10-19 15:00:00,2.73565,2.7784,0.0,0.0,226.14540166666666,0.0,0.0,321.1211783333334
2019-10-19 16:00:00,2.7316833333333337,2.7749,0.0,0.0,221.79212666666666,0.0,0.0,350.5643066666667
2019-10-19 17:00:00,2.7107,2.75495,0.0,0.0,233.31188,0.0,0.0,340.82448166666666
2019-10-19 18:00:00,2.7224166666666667,2.7537000000000003,0.0,0.0,246.51995333333335,0.0,0.0,355.89467833333333
2019-10-19 19:00:00,2.703133333333333,2.7258833333333334,0.0,0.0,241.753185,0.0,0.0,429.23830333333336
2019-10-19 20:00:00,2.640233333333333,2.6630166666666666,0.0,0.0,242.45839333333333,0.0,0.0,392.9004433333333
2019-10-19 21:00:00,2.630866666666667,2.6553833333333334,0.0,0.0,239.64679833333332,0.0,0.0,354.20777499999997
2019-10-19 22:00:00,2.6375333333333333,2.662316666666667,0.0,0.0,238.1730083333333,0.0,0.0,290.6380516666667
2019-10-19 23:00:00,2.6565333333333334,2.6807166666666666,0.0,0.0,239.73789166666666,0.0,0.0,318.1484566666667
2019-10-20 00:00:00,2.7140333333333335,2.73055,0.0,0.0,307.82128666666665,0.0,0.0,256.70148333333333
2019-10-20 01:00:00,2.797883333333333,2.8139499999999997,0.0,0.0,302.586345,0.0,0.0,314.673355
2019-10-20 02:00:00,2.8736333333333333,2.8910666666666667,0.0,0.0,301.104845,0.0,0.0,231.2964616666667
2019-10-20 03:00:00,3.0036,3.02285,0.0,0.0,303.4628716666667,0.0,0.0,186.00351
2019-10-20 04:00:00,3.146066666666667,3.16615,0.0,0.0,306.81928,0.0,0.0,185.89176333333336
2019-10-20 05:00:00,3.290116666666667,3.310766666666667,0.0,0.0,305.6790316666667,0.0,0.0,191.10522666666665
2019-10-20 06:00:00,3.4221,3.4433166666666666,0.0,0.0,304.16387833333334,0.0,0.0,213.723255
2019-10-20 07:00:00,3.5363166666666666,3.5561333333333334,0.0,0.0,305.89102166666663,0.0,0.0,281.144445
2019-10-20 08:00:00,3.5427166666666663,3.55435,0.0,0.0,308.01864166666667,0.0,0.0,535.2748183333333
2019-10-20 09:00:00,3.4411666666666667,3.4500333333333333,0.0,0.0,287.25749833333333,0.0,0.0,553.4706616666666
2019-10-20 10:00:00,3.3318999999999996,3.3394,0.0,0.0,179.81702333333334,0.0,0.0,436.30979
2019-10-20 11:00:00,3.240533333333333,3.246966666666667,0.0,0.0,176.66489483333334,0.0,0.0,426.64864166666666
2019-10-20 12:00:00,3.1376333333333335,3.164,0.0,0.0,92.57716666666667,0.0,0.0,315.45122166666664
2019-10-20 13:00:00,3.04305,3.0728500000000003,0.0,0.0,91.86529583333332,0.0,0.0,350.9628716666667
2019-10-20 14:00:00,2.9238500000000003,2.952733333333333,0.0,0.0,91.61640666666668,0.0,0.0,406.42004333333335
2019-10-20 15:00:00,2.7777333333333334,2.8060166666666664,0.0,0.0,95.14821950000001,0.0,0.0,364.69322
2019-10-20 16:00:00,2.7007166666666667,2.7268166666666667,0.0,0.0,103.70980983333334,0.0,0.0,294.598425
2019-10-20 17:00:00,2.6073166666666667,2.6346166666666666,0.0,0.0,103.63577483333333,0.0,0.0,431.2307866666667
